id,country_id,region_id,city,latitude,longitude,time_zone
3396,14,1,Shepparton,-36.38,145.4,+10:00
3397,14,4,Srtoud,-32.4,151.96,+10:00
3399,14,4,Tamworth,-31.1,150.93,+10:00
3400,14,4,Wagga Wagga,-35.11,147.36,+10:00
3401,14,4,Warringa,-33.8,151.28,+10:00
3402,14,4,Wauchope,-31.45,152.73,+10:00
3403,14,4,Wyong,-33.28,151.35,+10:00
3404,14,4,Young,-34.31,148.3,+10:00
3405,16,904,Baku,40.39,49.86,+03:00
3406,24,5051,Brussels,50.83,4.33,+01:00
3407,24,1131,Charleroi,50.41,4.43,+01:00
3408,24,1137,Diksmuide,51.03,2.86,+01:00
3409,24,5306,Dilbeek,50.85,4.26,+01:00
3410,24,1131,Frameries,50.4,3.9,+01:00
3411,24,5305,Genappe,50.6,4.45,+01:00
3412,24,1133,Hasselt,50.93,5.33,+01:00
3413,24,1137,Kortrijk,50.83,3.26,+01:00
3415,24,1129,Malines,51.03,4.46,+01:00
3416,24,1129,Mechelen,51.03,4.46,+01:00
3417,24,1135,Namur,50.46,4.86,+01:00
3418,24,1137,Pittem,51,3.26,+01:00
3419,38,5352,Bousse,13.1,-3.38,+00:00
3420,38,4486,Ouahigouya,13.58,-2.41,+00:00
3421,38,4477,Yako,12.96,-2.26,+00:00
3422,37,1244,Plovdiv,42.15,24.75,+02:00
3423,37,1246,Sofia,42.68,23.31,+02:00
3424,37,1247,Varna,43.21,27.91,+02:00
3426,29,1172,Cochabamba,-17.38,-66.15,-04:00
3428,29,1175,Oruro,-17.98,-67.15,-04:00
3429,29,1178,Santa Cruz,-21.75,-65.31,-04:00
3430,33,24,??guas de Lind¢ia,-22.48,-46.65,-03:00
3431,33,27,Barbacena,-21.23,-43.76,-03:00
3432,33,24,Campinas,-22.9,-47.08,-03:00
3433,33,14,Fortaleza,-3.31,-41.41,-03:00
3434,33,1220,Garanhuns,-8.9,-36.48,-02:00
3435,33,11,Itapetinga,-15.25,-40.25,-03:00
3436,33,24,Jundia°,-23.45,-50.28,-03:00
3437,33,15,Londrina,-23.3,-51.15,-03:00
3438,33,27,Nepomuceno,-21.23,-45.25,-03:00
3440,33,24,S?o Sebasti?o,-22.46,-47.76,-03:00
3441,31,1116,Gaborone,-24.66,25.91,+02:00
3442,23,1207,Minsk,53.9,27.56,+02:00
3443,23,1208,Molodechno,54.31,26.85,+02:00
3444,23,1206,Minsk,53.9,27.56,+02:00
3445,25,1165,Belize,17.48,-88.18,-06:00
3446,25,1166,Belmopan,17.25,-88.76,-06:00
3447,25,1170,Punta Gorda,16.1,-88.8,-06:00
3448,25,1168,Orange Walk,18.06,-88.55,-06:00
3449,43,38,Brandon,49.83,-99.95,-06:00
3450,43,37,Brockville,44.58,-75.68,-05:00
3451,43,37,Brussels,43.73,-81.25,-05:00
3452,43,37,Burlington,43.31,-79.8,-05:00
3453,43,37,Collingwood,44.5,-80.21,-05:00
3454,43,43,Courtenay,49.68,-125,-08:00
3455,43,43,Cranbrook,49.51,-115.76,-07:00
3456,43,43,Dawson Creek,55.76,-120.23,-07:00
3457,43,37,Georgina,44.25,-79.32,-05:00
3459,43,35,Granby,45.38,-72.73,-05:00
3460,43,37,Hamilton,43.25,-79.83,-05:00
3461,43,43,Kamloops,50.66,-120.33,-08:00
3462,43,37,Kingston,44.23,-76.48,-05:00
3463,43,35,La Salle,45.41,-73.65,-05:00
3464,43,37,Leamington,42.05,-82.58,-05:00
3468,43,37,Markham,43.86,-79.26,-05:00
3469,43,42,Moncton,46.08,-64.76,-04:00
3470,43,37,Orillia,44.6,-79.41,-05:00
3473,43,37,Owen Sound,44.56,-80.85,-05:00
3474,43,37,Peterborough,44.3,-78.33,-05:00
3476,43,43,Prince Rupert,54.31,-130.33,-08:00
3477,43,35,Quebec,46.8,-71.25,-05:00
3479,43,37,Sarnia,42.96,-82.4,-05:00
3480,43,37,Scarborough,43.75,-79.2,-05:00
3483,43,42,Saint John,45.26,-66.06,-04:00
3484,43,37,Stratford,43.36,-80.98,-05:00
3486,43,37,Thunder Bay,48.4,-89.23,-05:00
3487,43,43,Vernon,50.26,-119.26,-08:00
3488,43,37,Waterloo,43.46,-80.53,-05:00
3489,43,37,Wawa,48,-84.78,-05:00
3492,43,37,Woodstock,43.13,-80.75,-05:00
3493,234,4029,Bern,46.91,7.46,+01:00
3494,234,4033,Chur,46.85,9.5,+01:00
3496,234,4033,Davos,46.81,9.83,+01:00
3497,234,4027,Liestal,47.46,7.73,+01:00
3498,234,4044,Locarno,46.16,8.8,+01:00
3499,234,4029,Saas Fee,46.1,7.92,+01:00
3500,234,4033,Saint Moritz,46.49,9.82,+01:00
3501,234,4035,Sursee,47.16,8.1,+01:00
3502,234,4039,Winterthur,47.5,8.75,+01:00
3503,60,2283,Abidjan,5.31,-4.03,+00:00
3504,48,1370,La Serena,-29.9,-71.25,-04:00
3506,48,1367,Pucon,-39.26,-71.96,-04:00
3507,48,1373,Punta Arenas,-53.15,-70.91,-04:00
3508,48,1375,Santiago,-33.45,-70.66,-04:00
3509,48,1368,Talca,-30,-71.01,-04:00
3510,48,1372,Valdivia,-39.8,-73.23,-04:00
3511,48,1364,Valparaiso,-33.04,-71.6,-04:00
3513,42,1386,Douala,4.05,9.7,+01:00
3514,42,1389,Limbe,4.01,9.2,+01:00
3515,42,1387,Mankon Bamenda,5.93,10.16,+01:00
3516,49,1342,Baoding,18.76,109.2,+08:00
3517,49,1348,Beihai,21.48,109.1,+08:00
3518,49,1353,Beijing,39.9,116.41,+08:00
3519,49,1353,Changchun,26.73,120.05,+08:00
3520,49,1341,Changhua City,34.83,112.43,+08:00
3521,49,1347,Changhua,34.83,112.43,+08:00
3522,49,1343,Changsha,28.2,112.96,+08:00
3523,49,1336,Changshu,31.64,120.73,+08:00
3524,49,1355,Changzhi,36.05,113.04,+08:00
3525,49,1358,Chengdu,30.66,104.06,+08:00
3529,49,1363,Chongqing,29.55,106.53,+08:00
3532,49,1350,Dalian,38.91,121.65,+08:00
3533,49,1349,Dandong,26.97,108.9,+08:00
3534,49,1342,Dongying,40.81,117.36,+08:00
3537,49,1361,Foshan,23.03,113.11,+08:00
3538,49,1339,Fuzhou,26.08,119.3,+08:00
3539,49,1361,Guangzhou,23.11,113.25,+08:00
3540,49,1348,Guilin,25.28,110.28,+08:00
3543,49,1334,Hangzhou,30.25,120.16,+08:00
3544,49,1340,Harbin,45.75,126.65,+08:00
3545,49,1333,Hefei,31.86,117.28,+08:00
